facility_name,facility_type,facility_subtype,barangay,barangay_psgc,address,lat,lng,geocode_precision,ownership,bed_capacity
MANGGAHAN BARANGAY HEALTH STATION,health,Barangay Health Station,MANGGAHAN,405808005,"COMMUNITY VILLAGE STREET, MANGGAHAN, RODRIGUEZ, RIZAL, Philippines",14.59810189,121.0916183,address_level,Government,0
ALPHASTAR LABORATORY DIAGNOSTIC AND MULTISPECIALTY CLINIC,health,Clinical Laboratory,SAN JOSE,405808010,"LOT 3A BLK 9 PHASE 1B KASIGLAHAN VILLAGE, SAN JOSE, RODRIGUEZ, RIZAL, Philippines",14.66721342,121.0697192,address_level,Private,0
SOLOSON MEDICAL CLINIC,health,Clinical Laboratory,BURGOS,405808002,"MMR BLDNG., BURGOS, RODRIGUEZ, RIZAL, Philippines",14.71295023,121.1346167,address_level,Private,0
MEDITROOPS LABORATORY AND DIAGNOSTICS,health,Drug Testing Laboratory,BURGOS,405808002,"LOT 1, BLOCK 1 MAYON DRIVE, BURGOS, RODRIGUEZ, RIZAL, Philippines",14.71407476,121.135679,address_level,Private,0
MEDITROOPS LABORATORY AND DIAGNOSTICS,health,Clinical Laboratory,BURGOS,405808002,"LOT 1, BLOCK 1 MAYON DRIVE MONTANA SUBDIVISION, BURGOS, RODRIGUEZ, RIZAL, Philippines",14.71407476,121.135679,address_level,Private,0
DELA COSTA HEALTH CENTER,health,Barangay Health Station,BURGOS,405808002,"PHASE 1, BURGOS, RODRIGUEZ, RIZAL, Philippines",14.7145018,121.1424623,address_level,Government,0
BLOODCARE MEDICAL LABORATORY,health,Clinical Laboratory,BURGOS,405808002,"B1, L13 A. MABINI ST., BURGOS, RODRIGUEZ, RIZAL, Philippines",14.71477495,121.1359887,address_level,Private,0
BLOODCARE MEDICAL LABORATORY,health,Drug Testing Laboratory,BURGOS,405808002,"B1, L13 A. MABINI ST., BURGOS, RODRIGUEZ, RIZAL, Philippines",14.71478233,121.1359725,address_level,Private,0
"RPHS CASIMIRO A. YNARES SR, MEMORIAL HOSPITAL",health,Hospital,BURGOS,405808002,"BECCO ROAD, BURGOS, RODRIGUEZ, RIZAL, Philippines",14.7160062,121.1330499,address_level,Government,56
BURGOS 2 BARANGAY HEALTH STATION,health,Barangay Health Station,BURGOS,405808002,"BURGOS, RODRIGUEZ, RIZAL, Philippines",14.7163084,121.1382221,address_level,Government,0
SOLOSON MEDICAL CLINIC,health,Drug Testing Laboratory,BURGOS,405808002,"BURGOS, RODRIGUEZ, RIZAL, Philippines",14.7163084,121.1382221,address_level,Private,0
JL DIALMED DIALYSIS CENTER,health,Dialysis Clinic,BURGOS,405808002,"A. MABINI ST., BURGOS, RODRIGUEZ, RIZAL, Philippines",14.7167439,121.1371314,address_level,Private,0
BURGOS I BARANGAY HEALTH STATION,health,Barangay Health Station,BURGOS,405808002,"MANGGA STREET, BURGOS, RODRIGUEZ, RIZAL, Philippines",14.7184812,121.1402837,address_level,Government,0
YOUNG ANGELS MIDWIFE CLINIC,health,Birthing Home,BURGOS,405808002,"BLOCK 2 LOT 7 PHASE 1 DELA COSTA HOMES 5, BURGOS, RODRIGUEZ, RIZAL, Philippines",14.72278976,121.1335437,address_level,Private,1
HEALTHY MEH CLINICAL LABORATORY,health,Clinical Laboratory,MANGGAHAN,405808005,"MANGGAHAN, MANGGAHAN, RODRIGUEZ, RIZAL, Philippines",14.7242881,121.1431648,address_level,Private,0
H-VILL HOSPITAL,health,Hospital,MANGGAHAN,405808005,"82 J.P. RIZAL STREET, MANGGAHAN, RODRIGUEZ, RIZAL, Philippines",14.72670638,121.1429688,address_level,Private,30
ATE WILMA'S PAANAKAN,health,Birthing Home,MANGGAHAN,405808005,"J.P. RIZAL STREET, MANGGAHAN, RODRIGUEZ, RIZAL, Philippines",14.72914658,121.1443176,address_level,Private,1
