facility_name,facility_type,school_subtype,coc,address,lat,lng,geocode_precision,barangay
Balagbag Elementary School,school,Public,K - E,Sitio Balagbag,14.8136634,121.1645671,address_level,San Isidro
Burgos Elementary School,school,Public,K - E,Mabini St.,14.7167439,121.1371314,address_level,Burgos
Burgos ES Unit I,school,Public,K - E,Talisay St.,14.718266,121.1407045,address_level,Burgos
Center for Positive Futures,school,,S - SH,27 J.P. Rizal St. Balite,14.7333473,121.1512199,address_level,Balite
"College of Arts and Sciences of Asia and the Pacific Rodriguez Rizal, Inc.",school,,K - E - S - SH,"85 Payatas Road, Brgy. San Jose, ",14.7289538,121.1193278,address_level,San Jose
Divine Saviour Montessori School,school,,K - E - S - SH,"125 J.P. Rizal Ave., Manggahan ",14.7241292,121.1419594,address_level,Manggahan
Eulogio Rodriguez Jr. ES,school,Public,K - E,J.P. Rizal St.,14.7333473,121.1512199,address_level,Balite
Geronimo ES,school,Public,K - E,Camia St.,14.7325864,121.1485513,address_level,Geronimo
Holy Face of Jesus Lyceum of San Jose Inc.,school,,SH,Yakal St. San Jose,14.7234052,121.1176207,address_level,San Jose
Kasiglahan Village ES,school,Public,K - E,Kasiglahan Village,14.7418885,121.1391811,address_level,San Jose
Kasiglahan Village ES Unit I,school,Public,K - E,Kasiglahan Village,14.7418885,121.1391811,address_level,San Jose
Kasiglahan Village Senior High School,school,Public,SH,"Phase 1K2, Kasiglahan Village, San Jose, Rodriguez, Rizal",14.7440324,121.1439101,address_level,San Jose
Macabud ES,school,Public,K - E,Proper I,14.7965957,121.1397278,address_level,Macabud
Macabud National High School,school,Public,S,Proper 2,14.7965957,121.1397278,address_level,Macabud
Macaingalan Elementary School,school,Public,K - E,Sitio Macaingalan,14.8092196,121.2191443,address_level,Puray
Macaingalan HS,school,Public,S,Sitio Macaingalan,14.8092196,121.2191443,address_level,Puray
Malasya Uyungan Elementary School,school,Public,K - E,Sitio Malasya Uyungan,14.7443053,121.2518603,address_level,Puray
Manggahan ES,school,Public,K - E,Millex Road,14.7232175,121.14647,address_level,Manggahan
Maranatha Christian Academy,school,,K - E - S,78 J.P. Rizal Ave. Manggahan,14.7241292,121.1419594,address_level,Manggahan
Mascap NHS,school,Public,S,Mascap,14.7633002,121.1832997,address_level,Mascap
Puray Elementary School,school,Public,K - E,Brgy. Puray,14.7719401,121.2044695,address_level,Puray
Rodriguez Heights ES,school,Public,K - E,Montalban Heights,14.7483842,121.1206233,address_level,San Jose
Rural Improvement Club Children Center- Rodriguez Inc. ,school,,K,579 J. Ramos St. Geronimo,14.7347241,121.1486389,address_level,Geronimo
San Isidro Elementary School,school,Public,K - E,Sitio Tanag,14.7614497,121.1530156,address_level,San Isidro
San Isidro Labrador Elementary School,school,Public,K - E,Southville 8B,14.7520337,121.1491003,address_level,San Isidro
San Isidro NHS,school,Public,S,"Sitio Tanag,San Isidro",14.7614497,121.1530156,address_level,San Isidro
San Jose ES,school,Public,K - E,Narra St.,14.7590114,121.1307332,address_level,San Jose
San Jose NHS,school,Public,S,Ipil St.,14.7600762,121.1348058,address_level,San Jose
San Rafael ES,school,Public,K - E,P. Rodriguez St.,14.7315521,121.1577943,address_level,San Rafael
San Rafael ES - Casili ES,school,Public,K - E,Sitio Casili,14.7012622,121.2109567,address_level,San Rafael
San Rafael ES - Inigan ES,school,Public,K - E,Sitio Inigan,14.7220447,121.1967851,address_level,San Rafael
Southville 8 ES,school,Public,K - E,Southville 8,14.7621982,121.1521931,address_level,San Isidro
Southville 8B NHS,school,Public,S,-Southville 8b,14.7520337,121.1491003,address_level,San Isidro
Southville 8C ES,school,Public,K - E,"Southville 8C San Isidro Rodriguez,Rizal",14.7621982,121.1521931,address_level,San Isidro
St. Anne Child Study Center Inc.,school,,K - E,104 C. Reyes St. San Rafael,14.7347358,121.1523863,address_level,San Rafael
Steps to Ladders School and Activity Center Inc.,school,,K - IE,#73 A. Mabini St. Burgos,14.7167439,121.1371314,address_level,Burgos
Tagumpay ES,school,Public,K - E,Tagumpay Village,14.7452619,121.132448,address_level,San Jose
The Eastbridge School,school,,K - E,53 J.P. Rizal Ave. Brgy Manggahan ,14.7241292,121.1419594,address_level,Manggahan
Valley High Academy,school,,K - E - S - SH,J.P. Rizal Manggahan,14.7241292,121.1419594,address_level,Manggahan
Virgen del Pilar School,school,,K - E - S - SH,Iloilo St. Burgos,14.7191525,121.1431508,address_level,Burgos
Wawa ES,school,Public,K - E,Sitio Wawa,14.7304349,121.1852683,address_level,San Rafael
Asian Institute of Computer Studies,school,,SH,2nd Flr. Montalban Town Center San Jose,14.729702,121.1391392,name_level,San Jose
Asian Student Christian Foundation Inc.,school,,K,Kasiglahan Main Rd. San Jose,14.7465568,121.1344787,name_level,San Jose
Burgos National High School,school,Public,S,Daangbakal St.,14.7147126,121.1385985,name_level,Burgos
Gen. Licerio Geronimo NHS,school,Public,S,#NAME?,14.731947,121.1491519,name_level,Geronimo
Infant Jesus  Learning Academy of Rodriguez,school,,K - E - S - SH,B2 L2 P7 Eastwood Greenview San Isidro,14.7383478,121.1540542,name_level,San Isidro
Jolly Children Academic Center,school,,K - E - S,"B33 L45 P1A Kasiglahan Village, San Jose",14.7444612,121.1416441,name_level,San Jose
Kasiglahan Village NHS,school,Public,S,San Jose Plains,14.7492647,121.1415463,name_level,San Jose
Manggahan NHS,school,Public,S,"Millex Road Manggahan Rod., Rizal",14.723397,121.143161,name_level,Manggahan
Mascap National High School-Puray Annex,school,Public,S,Sitio Bagong Sigla,14.7757434,121.2078777,name_level,Puray
Montalban Heights NHS,school,Public,S,Villa Anna Maria Subdivision,14.7476387,121.1243574,name_level,San Jose
San Isidro Senior High School,school,Public,SH,"PNP/AFP HOUSING, SAN ISIDRO",14.7487787,121.1582518,name_level,San Isidro
San Jose - Litex SHS,school,Public,SH,"Lot 1 Block 9 Litex Subdivision, San Jose, Rodriguez, Rizal",14.735593,121.1300181,name_level,San Jose
Tagumpay NHS,school,Public,S,Tagumpay Compound,14.7453813,121.1312574,name_level,San Jose
Wawa NHS,school,Public,S,#NAME?,14.7308221,121.1851935,name_level,San Rafael
St. Anthony Learning Institute of Quezon City Inc. ,school,,K - E - S,"Ph 5 Blk 7 Eastwood Residences, San Isidro",14.70592194,121.0958478,address_level,San Isidro
Precious Little Lights Academy of Rodriguez Inc,school,,K - E,B5 L8 St. Peter Extn. King David Subd. Burgos,14.71069581,121.1383011,address_level,Burgos
"Gain Christian Academy of Montalban, Inc.",school,,K - E - S,Apo St. Extension Metro Montaña Subd.  Burgos,14.71267932,121.1408777,address_level,Burgos
St. Edith Academy Inc. ,school,,K - IE,"14 Arayat St. Montaña, Burgos",14.71288772,121.1375782,address_level,Burgos
"St. Mary Magdalene Academy, Inc.",school,,K - E - S,"B16 L11 Kanlaon St. Montaña, Burgos",14.71361578,121.137992,address_level,Burgos
Angeli Gilbert Christian Academy (fr. Angeli Tutorial & Child Care Ctr),school,,K - IE,"L5 B14 Cordillera St. Montaña Subd., Burgos",14.71457447,121.1395168,address_level,Burgos
Wise Steward  Christian School Inc.,school,,K - IE,"Blk. 13 Lot2 Estrella Heights Subd., Burgos",14.71562999,121.1333317,address_level,Burgos
"Christ the Foundation Christian Academy, Inc.",school,,K - E - S - SH,"Marang Rd., Ocampo Cmpd., Burgos",14.71630538,121.1402329,address_level,Burgos
Joyful Child of Caren School ,school,,K,23 Señor de Burgos Subd. Burgos,14.71918381,121.1398221,address_level,Burgos
Gentle Kiddie Learning Academy Inc,school,,K - E,B12 L1 & 3 Dela Costa Homes V. Burgos ,14.71967894,121.1319925,address_level,Burgos
Holy Family Montessori School of Rodriguez,school,,K - E - IS,"Lawaan St., corner Tanguile St. San Jose",14.72633474,121.1339913,address_level,San Jose
Roosevelt College - Rodriguez (fr. Roosevelt Mem'l High School),school,,K - E - S - SH,Lardizabal St. Manggahan,14.72823962,121.1402702,address_level,Manggahan
Thinking Tykes Academy Inc. former: Thinking Tykes Learning Center Inc. ,school,,K,"Blk. 19 Lot 2 Sorrento Village, Burgos",14.72887178,121.144198,address_level,Burgos
"Dreamers Creative Brains Academy, Inc.",school,,K - E,"#069 Espiritu Subd., Tobleron Balite (Pob.),",14.72997667,121.1485075,address_level,Balite
Creative Steps  Preschool,school,,K,"34 Cortijos Subd. San Vicente, San Rafael",14.73105136,121.1603382,address_level,San Rafael
St. Joseph's College of Rodriguez Inc. ,school,,K - E - S - SH,498 M.H. Del Pilar St. Brgy. San Rafael,14.73452049,121.159186,address_level,San Rafael
"Thrones Rainbow Angel Workshop, Inc.",school,,K - E,"B3 L3 Orlon St. corner Vonel St., Litex Village, San Jose",14.73512792,121.1298716,address_level,San Jose
Froebelian College of Science & Technology,school,,K - E,"B10-A Lot 3, 4 & 5Nylon St. Litex Vill. San Jose",14.73648029,121.1283203,address_level,San Jose
