psgc_code,barangay_name,lgu_name,province,region,urban_rural,population_2024
405808001,Balite,Rodriguez,Rizal,Region IV-A (CALABARZON),U,8302
405808002,Burgos,Rodriguez,Rizal,Region IV-A (CALABARZON),U,50396
405808003,Geronimo,Rodriguez,Rizal,Region IV-A (CALABARZON),U,6829
405808004,Macabud,Rodriguez,Rizal,Region IV-A (CALABARZON),U,10657
405808005,Manggahan,Rodriguez,Rizal,Region IV-A (CALABARZON),U,18394
405808006,Mascap,Rodriguez,Rizal,Region IV-A (CALABARZON),R,5436
405808007,Puray,Rodriguez,Rizal,Region IV-A (CALABARZON),R,3683
405808008,Rosario,Rodriguez,Rizal,Region IV-A (CALABARZON),U,6521
405808009,San Isidro,Rodriguez,Rizal,Region IV-A (CALABARZON),U,164822
405808010,San Jose,Rodriguez,Rizal,Region IV-A (CALABARZON),U,143031
405808011,San Rafael,Rodriguez,Rizal,Region IV-A (CALABARZON),U,33312
